TSR/BladePitchAngle,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5
7.5,0.4814,0.482811,0.482247,0.479557,0.47461,0.467357,0.457885,0.446283,0.432655,0.417118,0.399785,0.380762,0.360152,0.338048,0.314533,0.289673,0.263527,0.236132,0.207501,0.177633,0.146524,0.114172,0.080574,0.045729,0.009651,-0.027616,-0.066001,-0.105397,-0.145655,-0.186573,-0.227935,-0.269513,-0.31107,-0.352357,-0.393144,-0.433289,-0.47274,-0.511542,-0.54988,-0.588084,-0.626515,-0.665554,-0.705596,-0.747035,-0.790159,-0.835075,-0.881748,-0.929935,-0.979139,-1.028791,-1.078346,-1.127364
8.0,0.476095,0.479491,0.480789,0.479638,0.47585,0.46926,0.459829,0.447704,0.433036,0.416005,0.396781,0.375517,0.352347,0.327384,0.30072,0.272429,0.24256,0.211128,0.178139,0.143596,0.1075,0.069853,0.030657,-0.010073,-0.052283,-0.095885,-0.140748,-0.186682,-0.233446,-0.280781,-0.328416,-0.376069,-0.423444,-0.470257,-0.516321,-0.561574,-0.606074,-0.650065,-0.693952,-0.738171,-0.783182,-0.829461,-0.877497,-0.927672,-0.980144,-1.034884,-1.091595,-1.149679,-1.208463,-1.267289,-1.325606,-1.383003
8.5,0.465306,0.470609,0.473977,0.474778,0.472519,0.467007,0.458054,0.445718,0.430225,0.411821,0.390749,0.367215,0.341383,0.31339,0.28334,0.251301,0.217305,0.18137,0.143509,0.103732,0.062047,0.018462,-0.027008,-0.074302,-0.123319,-0.173905,-0.225837,-0.278831,-0.332583,-0.386779,-0.441087,-0.495159,-0.548648,-0.601298,-0.653014,-0.703849,-0.754088,-0.804205,-0.854717,-0.906168,-0.959122,-1.014165,-1.071817,-1.132333,-1.195727,-1.261688,-1.329537,-1.39849,-1.467754,-1.53663,-1.604597,-1.671311
9.0,0.451492,0.457916,0.462947,0.465744,0.465327,0.46115,0.453005,0.440745,0.424605,0.404907,0.381979,0.356083,0.327427,0.296167,0.262412,0.226221,0.187636,0.146686,0.103395,0.057782,0.009861,-0.040346,-0.092783,-0.147337,-0.203838,-0.262036,-0.321604,-0.382195,-0.443441,-0.504961,-0.566355,-0.627207,-0.687168,-0.746076,-0.803953,-0.861088,-0.918014,-0.975335,-1.033681,-1.093711,-1.156114,-1.221562,-1.29048,-1.362976,-1.438785,-1.517183,-1.597269,-1.678107,-1.758815,-1.838712,-1.917334,-1.994532
9.5,0.435622,0.442948,0.449017,0.453333,0.454788,0.452161,0.44501,0.433068,0.416428,0.395478,0.370637,0.34224,0.310538,0.275707,0.237857,0.197065,0.153389,0.106874,0.057556,0.005462,-0.049381,-0.10692,-0.16704,-0.229563,-0.294218,-0.360643,-0.428439,-0.49719,-0.566461,-0.635793,-0.704711,-0.772755,-0.83965,-0.905349,-0.970098,-1.034465,-1.099139,-1.164844,-1.232338,-1.302412,-1.375887,-1.453425,-1.535298,-1.621368,-1.710933,-1.802982,-1.896438,-1.990221,-2.083429,-2.175426,-2.265919,-2.354971
10.0,0.417782,0.426162,0.433094,0.438469,0.441402,0.440393,0.434358,0.422899,0.405865,0.383667,0.356814,0.325727,0.290701,0.251931,0.209556,0.163678,0.114374,0.061707,0.005724,-0.053534,-0.116018,-0.181622,-0.250164,-0.321366,-0.39484,-0.470138,-0.54679,-0.624304,-0.702164,-0.77983,-0.856745,-0.932472,-1.006846,-1.080016,-1.152532,-1.225161,-1.298722,-1.374076,-1.452124,-1.533813,-1.620057,-1.711404,-1.807922,-1.909046,-2.013698,-2.120659,-2.228663,-2.336539,-2.443409,-2.548762,-2.652548,-2.754938
10.5,0.397984,0.407603,0.415507,0.421744,0.42576,0.426156,0.421305,0.410388,0.393031,0.369547,0.34054,0.306522,0.267838,0.224727,0.177364,0.125881,0.070379,0.010936,-0.052384,-0.119527,-0.190401,-0.264832,-0.342549,-0.423151,-0.506146,-0.591008,-0.677186,-0.764100,-0.851144,-0.937682,-1.023109,-1.107073,-1.189571,-1.271049,-1.352319,-1.434297,-1.517951,-1.604294,-1.694397,-1.78937,-1.89013,-1.997053,-2.109849,-2.227485,-2.348609,-2.471793,-2.595595,-2.718814,-2.840646,-2.960812,-3.079431,-3.196734
11.0,0.376229,0.387272,0.396305,0.40341,0.40834,0.409769,0.40603,0.395649,0.37798,0.353136,0.321788,0.284551,0.241841,0.193957,0.141115,0.083481,0.021177,-0.045698,-0.117071,-0.192857,-0.272905,-0.35696,-0.444629,-0.535387,-0.628649,-0.723803,-0.820203,-0.917173,-1.014006,-1.10997,-1.204471,-1.297286,-1.388669,-1.479387,-1.570447,-1.662922,-1.757945,-1.856709,-1.960473,-2.070489,-2.187577,-2.311848,-2.442518,-2.578169,-2.71721,-2.857988,-2.998928,-3.138849,-3.277116,-3.413688,-3.548775,-3.682658
11.5,0.352513,0.365171,0.375499,0.383579,0.389315,0.391565,0.388657,0.378754,0.360731,0.334409,0.300493,0.259716,0.21259,0.159476,0.100639,0.036274,-0.033472,-0.108485,-0.188673,-0.273909,-0.363962,-0.458465,-0.556885,-0.658585,-0.762886,-0.869077,-0.97641,-1.084103,-1.191332,-1.297294,-1.401467,-1.503828,-1.604964,-1.705913,-1.807858,-1.912048,-2.019805,-2.132523,-2.251667,-2.378555,-2.513833,-2.657202,-2.807365,-2.962598,-3.121063,-3.280876,-3.440391,-3.598507,-3.754836,-3.909501,-4.062781,-4.215006
12.0,0.326826,0.341284,0.353068,0.362236,0.368746,0.371705,0.369303,0.359751,0.341265,0.313314,0.276573,0.231915,0.179958,0.12113,0.055743,-0.015975,-0.093854,-0.177765,-0.267584,-0.363116,-0.464029,-0.569814,-0.679802,-0.79325,-0.909376,-1.027361,-1.146343,-1.265422,-1.383658,-1.500222,-1.614724,-1.727428,-1.839263,-1.951493,-2.065488,-2.182695,-2.304643,-2.432948,-2.56928,-2.714938,-2.870294,-3.034506,-3.205841,-3.382289,-3.561744,-3.742116,-3.921744,-4.099692,-4.275819,-4.450358,-4.623649,-4.796068
12.5,0.299151,0.315583,0.328973,0.339335,0.346637,0.350221,0.348095,0.338651,0.319544,0.289783,0.249938,0.201032,0.143795,0.078729,0.006193,-0.073552,-0.160309,-0.253922,-0.354218,-0.460913,-0.573545,-0.691453,-0.81384,-0.939852,-1.068597,-1.199137,-1.330491,-1.46163,-1.591508,-1.719325,-1.844896,-1.968833,-2.092377,-2.217003,-2.344285,-2.475887,-2.61357,-2.759194,-2.914607,-3.080995,-3.258317,-3.445157,-3.639407,-3.838767,-4.040844,-4.243386,-4.444775,-4.644323,-4.842078,-5.038361,-5.233573,-5.42811
13.0,0.269484,0.288035,0.303168,0.314832,0.322972,0.327107,0.325101,0.315444,0.295519,0.263733,0.220474,0.166915,0.103908,0.032033,-0.048298,-0.136782,-0.233193,-0.337338,-0.448974,-0.567703,-0.692912,-0.823788,-0.959411,-1.098815,-1.240987,-1.384864,-1.529333,-1.673228,-1.815422,-1.955204,-2.09267,-2.228805,-2.365125,-2.503324,-2.645199,-2.792653,-2.947702,-3.112473,-3.288933,-3.478055,-3.679244,-3.890555,-4.109531,-4.333561,-4.559961,-4.786371,-5.011298,-5.234313,-5.455617,-5.675607,-5.894731,-6.113362
13.5,0.237889,0.258618,0.27562,0.288682,0.297707,0.302319,0.300293,0.290104,0.269113,0.235044,0.188023,0.129366,0.060059,-0.019228,-0.108024,-0.205984,-0.312845,-0.428362,-0.552202,-0.683831,-0.822478,-0.967181,-1.116902,-1.270552,-1.426987,-1.585009,-1.743361,-1.900738,-2.055966,-2.208492,-2.358758,-2.508112,-2.658331,-2.81134,-2.969183,-3.134023,-3.308156,-3.493992,-3.693536,-3.907419,-4.134415,-4.372104,-4.617682,-4.868201,-5.120701,-5.372774,-5.623125,-5.871572,-6.118434,-6.364179,-6.609269,-6.854024
14.0,0.20463,0.227339,0.246294,0.260834,0.270773,0.275794,0.273598,0.262572,0.240204,0.20355,0.152386,0.08816,0.012006,-0.075313,-0.17326,-0.281442,-0.399554,-0.527289,-0.664202,-0.809609,-0.962571,-1.121992,-1.286703,-1.455484,-1.627049,-1.800053,-1.973084,-2.1447,-2.313726,-2.479843,-2.643878,-2.807526,-2.97282,-3.141938,-3.317191,-3.501029,-3.696055,-3.904954,-4.129679,-4.37037,-4.625166,-4.891205,-5.165322,-5.444213,-5.724668,-6.0043,-6.282068,-6.558,-6.83252,-7.106141,-7.379314,-7.652283
14.5,0.170014,0.194261,0.215147,0.231216,0.242075,0.247424,0.244887,0.232742,0.208639,0.169066,0.113364,0.043087,-0.04047,-0.136444,-0.244231,-0.363392,-0.493571,-0.634384,-0.785257,-0.945341,-1.113532,-1.288593,-1.469221,-1.654049,-1.84164,-2.030491,-2.219022,-2.405666,-2.589308,-2.769925,-2.948755,-3.127822,-3.309422,-3.496007,-3.690179,-3.8947,-4.112517,-4.346554,-4.598597,-4.868178,-5.152826,-5.449253,-5.75391,-6.06312,-6.373468,-6.682659,-6.989934,-7.295496,-7.599855,-7.903549,-8.206988,-8.510317
