60, 270.0802
120, 270.0973
180, 269.6761
240, 269.6590
300, 269.9539
360, 269.6603
420, 269.4514
480, 269.8229
540, 269.9603
600, 270.2077
660, 270.0961
720, 269.9424
780, 270.0650
840, 269.9775
900, 269.8026
960, 269.5094
1020, 269.7295
1080, 270.0351
1140, 269.9802
1200, 269.4711
1260, 269.8926
1320, 270.3560
1380, 270.2885
1440, 270.5211
1500, 270.8038
1560, 270.3325
1620, 269.6932
1680, 269.8647
1740, 270.1866
1800, 269.9892
1860, 269.6369
1920, 269.3765
1980, 269.2812
2040, 269.7774
2100, 270.2896
2160, 269.9251
2220, 270.0495
2280, 270.5074
2340, 270.0388
2400, 269.5704
2460, 269.2947
2520, 269.3684
2580, 269.8968
2640, 270.4183
2700, 270.1933
2760, 269.4827
2820, 269.5697
2880, 270.3652
2940, 270.4076
3000, 269.9096
3060, 269.9590
3120, 270.4483
3180, 270.5712
3240, 270.7749
3300, 270.3815
3360, 269.6227
3420, 269.5737
3480, 270.1910
3540, 270.0830
