60, 0.0616
120, 0.0611
180, 0.0632
240, 0.0612
300, 0.0598
360, 0.0608
420, 0.0630
480, 0.0588
540, 0.0597
600, 0.0622
660, 0.0612
720, 0.0617
780, 0.0654
840, 0.0646
900, 0.0618
960, 0.0626
1020, 0.0664
1080, 0.0664
1140, 0.0651
1200, 0.0651
1260, 0.0653
1320, 0.0629
1380, 0.0620
1440, 0.0657
1500, 0.0667
1560, 0.0657
1620, 0.0651
1680, 0.0663
1740, 0.0655
1800, 0.0663
1860, 0.0655
1920, 0.0647
1980, 0.0622
2040, 0.0645
2100, 0.0664
2160, 0.0716
2220, 0.0746
2280, 0.0707
2340, 0.0684
2400, 0.0660
2460, 0.0646
2520, 0.0633
2580, 0.0650
2640, 0.0633
2700, 0.0594
2760, 0.0612
2820, 0.0634
2880, 0.0686
2940, 0.0678
3000, 0.0651
3060, 0.0675
3120, 0.0661
3180, 0.0626
3240, 0.0589
3300, 0.0591
3360, 0.0627
3420, 0.0649
3480, 0.0670
3540, 0.0654
