60, 11.2677
120, 11.3597
180, 11.2736
240, 11.2851
300, 11.4284
360, 11.4863
420, 11.3396
480, 11.2317
540, 11.1764
600, 11.1475
660, 11.1757
720, 11.0299
780, 11.0520
840, 11.0601
900, 11.1013
960, 11.2836
1020, 11.4295
1080, 11.4207
1140, 11.3607
1200, 11.3618
1260, 11.4520
1320, 11.3434
1380, 11.1977
1440, 11.1684
1500, 10.9565
1560, 11.2593
1620, 11.3285
1680, 11.2732
1740, 11.3422
1800, 11.5060
1860, 11.4869
1920, 11.4168
1980, 11.3501
2040, 11.2887
2100, 11.3132
2160, 11.3514
2220, 11.4187
2280, 11.4907
2340, 11.4568
2400, 11.3545
2460, 11.2899
2520, 11.2677
2580, 11.4003
2640, 11.5857
2700, 11.6711
2760, 11.6583
2820, 11.5411
2880, 11.4768
2940, 11.5146
3000, 11.5833
3060, 11.7120
3120, 11.6614
3180, 11.4868
3240, 11.3881
3300, 11.3552
3360, 11.2691
3420, 11.1947
3480, 11.1879
3540, 11.2788
